French,English,Polish
partie,part,część
histoire,history,historia
chercher,search,Szukaj
seulement,only,tylko
police,police,Policja
pensais,thought,myśl
aide,help,Wsparcie
demande,request,żądanie
genre,kind,uprzejmy
mois,month,miesiąc
frère,brother,brat
laisser,let,wynajmować
car,because,dlatego
mettre,to put,położyć
aucun,no,nie
laisse,leash,smycz
eux,them,ich
ville,city,Miasto
chaque,each,każdy
parlé,speak,mówić
arrivé,come,chodź
devrait,should,powinien
bébé,baby,Dziecko
longtemps,long time,długi czas
heures,hours,godziny
vont,will,będzie
pendant,while,podczas gdy
revoir,meet again,spotkają się ponownie
aucune,any,każdy
place,square,kwadrat
parle,speak,mówić
compris,understood,zrozumiany
savais,knew,Wiedziałem
étaient,were,byli
attention,Warning,Ostrzeżenie
voici,here is,tutaj jest
pourrais,could,mógłby
affaire,case,walizka
donner,give,dawać
type,type,rodzaj
leurs,their,ich
donné,given,dany
train,train,pociąg
corps,body,ciało
endroit,place,miejsce
yeux,eyes,oczy
façon,way,droga
dont,whose,którego
trouve,find,odnaleźć
premier,first,pierwszy
perdu,lost,Stracony
main,hand,ręka
première,first,pierwszy
côté,side,bok
pouvoir,power,moc
vieux,old,stary
sois,be,być
tiens,here,tutaj
matin,morning,rano
tellement,so much,tyle
enfant,child,dziecko
point,point,punkt
venu,came,przyszło
suite,after,po
pardon,sorry,przepraszam
venez,come,chodź
devant,in front of,z przodu
vers,towards,w stronę
minutes,minutes,minuty
demandé,request,żądanie
chambre,bedroom,sypialnia
mis,placed,umieszczony
droit,law,prawo
aimerais,would like to,chciałby
aujourd'hui,today,Dziś
mari,husband,mąż
cause,cause,przyczyna
enfin,finally,wreszcie
espère,hope,nadzieja
eau,water,woda
parti,left,lewy
nouvelle,new,Nowy
boulot,job,stanowisko
arrêter,Stop,Zatrzymaj się
dirait,would say,powiedziałbym
terre,Earth,Ziemia
compte,account,rachunek
donne,given,dany
loin,far,daleko
fin,end,koniec
croire,believe,uważać
chérie,sweetheart,kochanie
gros,large,wielki
plutôt,rather,raczej
aura,will have,będzie miał
filles,girls,dziewczyny
jouer,to play,grać
bureau,office,gabinet
